objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text
book_001,I Who Have Never Known Men,Jaqueline Harpman,1995,"A young woman who grew up in a cage with 39 other women, guarded by faceless and silent men, by chance is given the opportunity to escape when an alarm causes the guards to flee. Her and the rest of the women venture out into the barren world above, trying to find meaning, friendship, freedom, and others who may be out there. ",science fiction; post-apocalyptic; dystopian,Etterbeek Belgium,50.83064023,4.391127123,,,,,french,,,,,,,
book_002,Drive Your Plow over the Bones of the Dead,Olga Tokarczuk,2009,"A reclusive woman with a fondness for animals living in a Polish borderland village spends time studying the poetry of William Blake and astrology, when her neighbor turns up dead. An investigation begins, but the police don't seem to take her seriously... ",crime; mystery,Sulechów Poland,52.08328252,15.6253183,,,,,polish,,,,/objects/book_images/plow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Olga_Tokarczuk_22.jpg/330px-Olga_Tokarczuk_22.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Olga_Tokarczuk_22.jpg/330px-Olga_Tokarczuk_22.jpg,Olga in a large grey chair reading a book out loud
book_003,The Wall,Marlen Haushofer,1963,"A middle aged woman wakes up one day surrounded by a (metaphorical) wall, where she seems to be the only person left on either side. She is kept company by her dog, cat, and cow as she writes an account of her daily isolation. ",science fiction; stream of consciousness; dystopian,Frauenstein Austria,47.84891406,14.18415481,,,,,german,,,,/objects/book_images/wall,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Schreibmaschine_von_Malen_Haushofer%2C_Wilderermuseum_Molln.jpg/250px-Schreibmaschine_von_Malen_Haushofer%2C_Wilderermuseum_Molln.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Schreibmaschine_von_Malen_Haushofer%2C_Wilderermuseum_Molln.jpg/250px-Schreibmaschine_von_Malen_Haushofer%2C_Wilderermuseum_Molln.jpg,Black typewriter with white keys with a piece of paper inserted in. A book by Marlen Haushofer lays over the keys. 
book_004,G,John Berger,1972,A young man named G. is a lover of women (although hated by many) operating in pre-World War I Europe. It is an interpretation of the Don Juan story.,experimental; historical fiction,London UK,51.51048296,-0.1486338665,,,,,english,,,,https://upload.wikimedia.org/wikipedia/commons/b/b3/Berger.G.1990.2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/John_Berger-2009_%286%29.jpg/250px-John_Berger-2009_%286%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/John_Berger-2009_%286%29.jpg/250px-John_Berger-2009_%286%29.jpg,Old man with white hair smiling in a striped blue and white shirt
book_005,The Idiot,Fyodor Dostoyesvsky,1868,"Myshkin, a young prince with an open hearted simplicity (and various ailments), travels throughout Russia discussing life, society, love, religion, and intelligence while swapping stories at parties with family, generals, and beautiful women. Stay tuned for an exciting wedding scene. ",classic lit,Moscow Russia,55.77431162,37.62541635,,,,,russian,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Fyodor_Dostoyevsky_manuscript_and_drawing_08.jpg/500px-Fyodor_Dostoyevsky_manuscript_and_drawing_08.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Fyodor_Dostoyevsky_manuscript_and_drawing_08.jpg/500px-Fyodor_Dostoyevsky_manuscript_and_drawing_08.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Fyodor_Dostoyevsky_manuscript_and_drawing_08.jpg/250px-Fyodor_Dostoyevsky_manuscript_and_drawing_08.jpg,Part of a manuscript with a sketch of a man's head in the center with written text surrounding it
book_006,Fledgling,Octavia Butler,2005,"Shori, a young Ina, wakes up alone in a cave, bruised and with no memories. She discovers her power and desires as she travels to find other communities of Ina, learning about where she came from and forging new ways of human/Ina symbiosis. ",science fiction; vampires; coming of age,Pasadena USA,34.14673803,-118.1396509,,,,,english,,,,https://upload.wikimedia.org/wikipedia/commons/8/83/Butler_signing_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Butler_signing_portrait.jpg/250px-Butler_signing_portrait.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Butler_signing_portrait.jpg/250px-Butler_signing_portrait.jpg,An older women with glasses signing a book
book_007,The Nickel Boys,Colson Whitehead,2019,"Elmwood, a Black young man, was sent to a corrupt juvenile reform school in the 1960s, exposing the hidden atrocities and abuses of these academies. ",historical fiction; coming of age,New York USA,40.72321778,-73.99947266,,,,,english,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Colson_Whitehead_%40_BBF_%286161074114%29.jpg/1024px-Colson_Whitehead_%40_BBF_%286161074114%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Colson_Whitehead_%40_BBF_%286161074114%29.jpg/330px-Colson_Whitehead_%40_BBF_%286161074114%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Colson_Whitehead_%40_BBF_%286161074114%29.jpg/330px-Colson_Whitehead_%40_BBF_%286161074114%29.jpg,"A man in a brown suit on a panel, speaking into a microphone"
book_008,Moby Dick,Herman Melville,1851,"Ishmael is looking for adventure and sets out on the Pequod with a mysterious and monomanical captian. He catalouges the oceanic world and the processes of whaling as the boat sails across the Atlantic, meeting others along the way. ",classic lit,New York USA,40.72321778,-73.99947266,,,,,english,,,,/objects/book_images/moby,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Whale_or_Moby_Dick_Vol_1_1851.jpg/250px-The_Whale_or_Moby_Dick_Vol_1_1851.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/The_Whale_or_Moby_Dick_Vol_1_1851.jpg/250px-The_Whale_or_Moby_Dick_Vol_1_1851.jpg,A manuscript first page of The Whale
book_009,Agua Viva,Clarice Lispector,1973,"A stream of (life) consciousness filled with unconventional thoughts (about placentas, bats in caves, etc.) and emotions.",experimental; stream of consciousness,Chechel'nyk Ukraine,48.21266398,29.34192549,,,,,portugeuse,,,,https://upload.wikimedia.org/wikipedia/commons/9/9d/%281920-1977%29_%22Clarice_Lispector%22.png,https://upload.wikimedia.org/wikipedia/commons/9/9d/%281920-1977%29_%22Clarice_Lispector%22.png,https://upload.wikimedia.org/wikipedia/commons/9/9d/%281920-1977%29_%22Clarice_Lispector%22.png,Black and white photo of a woman sitting in a chair looking straight onto the camera
book_010,Hard Rain Falling,Don Carpenter,1966,"Life is a prison, except in actual prison. Set in the Pacific West Coast in the 1950s, Jack, our passive protagonist, lives his poor life in the outskirts of society; growing up in an orphanage, hanging out with the misfits on the corner, frequenting underground poolhalls, then becoming a prisioner, and an ex convist. He struggles with finding meaning in life, his relationships, dealing with society and its unjustness, and understanding his sexuality and who he is. ",crime; historical fiction,Berkeley USA,37.87169534,-122.2747194,,,,,english,,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Don_Carpenter_1994.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Don_Carpenter_1994.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Don_Carpenter_1994.jpg,Sepia photograph of a man with galses and a salt and pepper beard
